"Cranberries, The",Zombie,m8CEEkqQiiY,2020-01-01
"Cure, The",Just Like Heaven,0421tpZGaBU,2020-01-01
"Cure, The",Lullaby,89vdI_bblv0,2020-01-01
Cyndi Lauper,Girls Just Want To Have Fun,-Fg7m1ZqkxI,2020-01-01
Danzig,Mother,DJupAbO4rLA,2020-01-01
Dashboard Confessional,Vindicated,JuM6tjk_AQU,2020-01-01
David Bowie,Ashes To Ashes,Io_xgvSLVrM,2020-01-01
David Bowie,Changes,7cbFiCN0LA4,2020-01-01
David Bowie,Fame,mvKHRjzsYm4,2020-01-01
David Bowie,Heroes,VzM15dOXLA8,2020-01-01
David Bowie,Let's Dance,YC5orEtpCCI,2020-01-01
David Bowie,Life On Mars,7q8PGq5ogbg,2020-01-01
David Bowie,"Man Who Sold The World, The",4F2bvQfQy9g,2020-01-01
David Bowie,Modern Love,LTgmQ47fj7U,2020-01-01
David Bowie,Moonage Daydream,H4UR-sZFhRo,2020-01-01
David Bowie,Rebel Rebel,uJ0mrDklDog,2020-01-01
David Bowie,Space Oddity,uxdNTbByADU,2020-01-01
David Bowie,Starman,Z55qQqt8Yqk,2020-01-01
David Bowie,Ziggy Stardust,MWIt6Od7eCQ,2020-01-01
Dead or Alive,You Spin Me Round,Mh9CuCiNJEk,2020-01-01
Death Cab for Cutie,I Will Follow You into the Dark,BbsGlgEsgqA,2020-01-01
Demi Lovato,Confident,xsnGhrrspSM,2020-01-01
Depeche Mode,Barrel of a Gun,ocMfZbaMsB8,2020-01-01
Depeche Mode,Enjoy The Silence,KekDOsq_DeA,2020-01-01
Depeche Mode,Never Let Me Down Again,qpQ7OtR8mPM,2020-01-01
Depeche Mode,Personal Jesus,T9YzdgHnsv4,2020-01-01
Depeche Mode,Policy Of Truth,7yn2GWrUSis,2020-01-01
Depeche Mode,Where's The Revolution,3t1rd6slQxM,2020-01-01
Destroy Boys,I Threw Glass at My Friend's Eyes...,ncB5UmsxNd8,2020-01-01
Dirty Heads,Stand Tall,PN-kKNYfRj4,2020-01-01
"Distillers, The",Hall of Mirrors,u6N74dQ8L4,2020-01-01
Disturbed,Down With The Sickness,mDvnWKr0vTU,2020-01-01
Disturbed,Stupify,PmMUl9UojAs,2020-01-01
"Dixie Chicks, The","See 'Chicks, The'",00000000000,2020-01-01
Dolly Parton,Jolene,r9lVYyhkqUU,2020-01-01
Donovan,Sunshine Superman,CWtbDnLqUmg,2020-01-01
"Doors, The","Crystal Ship, The",4Bg_iSGHs7k,2020-01-01
"Doors, The","Hello, I Love You",DGr9o_IYYs0,2020-01-01
"Doors, The",Touch Me,B18nwO0WKio,2020-01-01
Dr. Horrible,My Freeze Ray,jI02KoEPH1c,2020-01-01
Drake,Hotline Bling,k38V_MG1ZsE,2020-01-01
Duran Duran,Hungry Like the Wolf,GmzRIaRCo_M,2020-01-01
Edwin McCain,I'll Be,fMekk3ND7Uw,2020-01-01
Eminem,Love the Way You Lie ft. Rihanna,HChbNQd8yjs,2020-01-01
Evanescence,My Immortal,Dv4s4KFptCE,2020-01-01
Extreme,More Than Words,svzLPvd6b9k,2020-01-01
Fall Out Boy,"Sugar, We're Goin Down",6vWIM0AjPNc,2020-01-01
Finger Family,Finger Family Song,6c4PZerJI3M,2020-01-01
Five Little Monkeys,Five Little Monkeys,oyYvqANIXUk,2020-01-01
Fleetwood Mac,Dreams,RpvbNiC6u_4,2020-01-01
Fleetwood Mac,Landslide,GjaVueSGx20,2020-01-01
Foo Fighters,Everlong,CpBWX6PySsE,2020-01-01
"Foundations, The",Build Me Up Buttercup,0TvbvdSQQWU,2020-01-01
Frank Sinatra,Fly Me To The Moon,VvjWl7lvrnk,2020-01-01
Fuel,Hemorrhage (In My Hands),_t2NYGzTB70,2020-01-01
Fuel,Shimmer,6WQQvg1s7cU,2020-01-01
Garbage,I Think I'm Paranoid,2rHl7pUITho,2020-01-01
Garth Brooks,Friends in Low Places,yUzq9Q1tPxE,2020-01-01
Gary Jules,Mad World,WpjyAZtKd2U,2020-01-01
Ghost,Cirice,GZGB_2BLmb4,2020-01-01
Ghost,Dance Macabre,YACziPBPF0M,2020-01-01
Ghost,Square Hammer,6N-SI1eN1IA,2020-01-01
Godsmack,1000hp,1vTdT5DAtmI,2020-01-01
Green Day,Basket Case,kfOvVxvXQ0w,2020-01-01
Green Day,Redundant,0zVEta7d6vo,2020-01-01
Green Day,Reject,5dlVkL1Uymc,2020-01-01
Green Day,She,KlI2DgW-2O4,2020-01-01
Greentea Peng,Downers,nWIPPkODrxM,2020-01-01
Guns N' Roses,Sweet Child O' Mine,FtI0tcxl7LU,2020-01-01
Guns N' Roses,Welcome To The Jungle,6DqkVVTaepI,2020-01-01
Halestorm,Here's To Us,_Cf6VQd8O7c,2020-01-01
Halsey,Eyes Closed,odDA2rs-G9M,2020-01-01
Halsey,Lilith,9mbfkYUEjMs,2020-01-01
Halsey,Nightmare,6iHo98p2RDc,2020-01-01
Halsey,Without Me,_QC9OSgbmC8,2020-01-01
Hamilton,You'll Be Back,NeyIh_uFilY,2020-01-01
Harry Nilsson,Without You,X6VZysvEX6U,2020-01-01
Henry Hall,"Teddy Bear's Picnic, The",C21X4J_0oMA,2020-01-01
Hocus Pocus,I Put a Spell on You,41griX6igRc,2020-01-01
Hole,Celebrity Skin,w9d3Q9fhIwk,2020-01-01
Hole,Doll Parts,ARTL7Yesu7w,2020-01-01
Hole,Jennifer's Body,-l1z9fxPphU,2020-01-01
Hole,Miss World,DSbWXlbZSxc,2020-01-01
Hole,Violet,Og6TN25-Qgw,2020-01-01
Hozier,Arsonist's Lullabye,jP9DClLyfWY,2020-01-01
Hozier,Take Me to Church,2bb67GtsI80,2020-01-01
Hozier,Too Sweet,hikzbv4pKp8,2020-01-01
"Hush Sound, The",Carry Me Home,WqIBuuyPoBA,2020-01-01
Incubus,Drive,8SRvGYvZ2S8,2020-01-01
Indigo Girls,Closer to Fine,cekzjE77LrY,2020-01-01
Iron Maiden,Fear of the Dark (Live),Mejh32bBtmU,2020-01-01
Iron Maiden,"Number of the Beast, The",yT2SKNcE6U0,2020-01-01
Janis Joplin,Me And Bobby McGee,mCKGrnbWsF0,2020-01-01
Jay-Z ft. Alicia Keys,Empire State Of Mind,52WbRVGAUBI,2020-01-01
Jefferson Airplane,White Rabbit,IU37361p5MQ,2020-01-01
Jessie Ware,Free Yourself,83-VI8MRIik,2020-01-01
Jo Dee Messina,Lesson In Leavin',GW2XwKNwWqg,2020-01-01
John Legend,All of Me,kr8wPkdHFA0,2020-01-01
John Legend,Ordinary People,I93Xg1aZFEQ,2020-01-01
Johnny Cash,Ring of Fire,ei-VpgPozgQ,2020-01-01
Journey,Lights,SQRHmfj2QO0,2020-01-01
Joy Division,Atmosphere,2AJrQGT5yHc,2020-01-01
Joy Division,Love Will Tear Us Apart,LL2pc7L4H0E,2020-01-01
Justin Timberlake,Can't Stop The Feeling,391uC33uI94,2020-01-01
K.D. Lang,Hallelujah,U3QdWHvaBQc,2020-01-01
Kate Bush,Running Up That Hill (A Deal With God),UPd80vvFNtY,2020-01-01
"Killers, The",Mr. Brightside,c1X3Lg7RVkk,2020-01-01
Laura Branigan,Gloria,y4gtIRSt1Z4,2020-01-01
"Lion King, The",Hakuna Matata (Duet),tcuP-GHt5U0,2020-01-01
Lipps Inc.,Funkytown,YMPSqTx8jUM,2020-01-01
Lita Ford & Ozzy Osbourne,Close My Eyes Forever,XreFuKhow8Y,2020-01-01
Live,All Over You,lF4Hvn8GWeY,2020-01-01
Live,I Alone,A_soKxQslo0,2020-01-01
Live,Lakini's Juice,CuuwHmMGP8U,2020-01-01
Lou Rawls,You'll Never Find,19xoN8DKbJ4,2020-01-01
Machine Gun Kelly,I Think I'm OKAY,m-Yy4RAC8Kg,2020-01-01
Mad Season,Wake Up,CIOI1qpE6WE,2020-01-01
"Mamas & the Papas, The",California Dreamin',paTYxzcjOBU,2020-01-01
"Mamas & the Papas, The",California Dreamin' (Duet),O4yMSSrhZ5c,2020-01-01
Matchbox Twenty,Push,PIfE9VpHIdY,2020-01-01
Matchbox Twenty,Real World,fSK7axkd5yY,2020-01-01
Meredith Brooks,Bitch,EnbF6cJoPLw,2020-01-01
Metallica,Enter Sandman,VevrCwTQVfs,2020-01-01
Metallica,Master of Puppets,qfDunE-V8lg,2020-01-01
Metallica,Nothing Else Matters,jEJlv9YcecM,2020-01-01
Metallica,"Thing That Should Not Be, The",hkJVQrkQ7B0,2020-01-01
Metallica,Trapped Under Ice,RMj8Knp_CTQ,2020-01-01
Michael Jackson,Thriller (no Vincent Price),OwHMgQVWhLc,2020-01-01
Michael Jackson,Thriller (w Vincent Price),fod0TRI14nk,2020-01-01
MIKA,Grace Kelly,ib_PhEzRqTw,2020-01-01
Miranda Lambert,Bluebird,OmR5ao45UHc,2020-01-01
Mitski,A Pearl,Jc66OfkIpbI,2020-01-01
Mitski,I Bet on Losing Dogs,FcrvzRaDGHY,2020-01-01
Mitski,Nobody,64gK32or-Fc,2020-01-01
Monster Magnet,Negasonic Teenage Warhead,G1vZsSfcH3k,2020-01-01
"Mountain Goats, The",Color in Your Cheeks,Ki485Owqg08,2020-01-01
"Mountain Goats, The",Going to Georgia,7Z5GCIpPmhs,2020-01-01
"Mountain Goats, The",This Year,BlR2XTUbuEk,2020-01-01
Muse,Feeling Good,yIMfwELwzpU,2020-01-01
Muse,Pressure,mGnH0Pkuvbg,2020-01-01
My Chemical Romance,Blood,XBBoQ3QtinI,2020-01-01
My Chemical Romance,Cancer,6FXr2kw8H8c,2020-01-01
My Chemical Romance,Cemetery Drive,eCcrc3Bsoy4,2020-01-01
My Chemical Romance,Dead!,92qBGFOnOzA,2020-01-01
My Chemical Romance,Famous Last Words,U2VJo4bA9y8,2020-01-01
My Chemical Romance,"Ghost of You, The",Zjj7hqMSL7U,2020-01-01
My Chemical Romance,Helena,dKHgqVOAOJ4,2020-01-01
My Chemical Romance,I Don't Love You,609O0qqdp44,2020-01-01
My Chemical Romance,I'm Not Okay (I Promise),GO7T7vaW7L4,2020-01-01
My Chemical Romance,Mama,1kBDID9rZDM,2020-01-01
My Chemical Romance,Thank You for the Venom,SeLacxciGC4,2020-01-01
My Chemical Romance,Welcome to the Black Parade,EkJ2NL6xpcc,2020-01-01
My Chemical Romance,You Know What They Do to Guys Like Us...,AOc8F5pw1_Q,2020-01-01
Nancy Sinatra,These Boots Are Made for Walkin',YsLbokazHRA,2020-01-01
Nathan Evans,Wellerman,PD6ippYQ434,2020-01-01
