"Alice in Chains","I Stay Away (w backing vocals)","vOGzcX FBJw","E:/Karaoke/Songs/Alice in Chains - I Stay Away (w backing vocals) - vOGzcX_FBJw.mp4"
"Alice in Chains","Man in the Box","S4Y9Z0-F8q4","E:/Karaoke/Songs/Alice in Chains - Man in the Box - S4Y9Z0-F8q4.mp4"
"Alice in Chains","Nutshell","ZJ-DEPyJo7I","E:/Karaoke/Songs/Alice in Chains - Nutshell - ZJ-DEPyJo7I.mp4"
"Alice in Chains","Rooster","7-kiOBGtQ8A","E:/Karaoke/Songs/Alice in Chains - Rooster - 7-kiOBGtQ8A.mp4"
"Alice in Chains","Sunshine","t7gQtDVYM6g","E:/Karaoke/Songs/Alice in Chains - Sunshine - t7gQtDVYM6g.mp4"
"Alice in Chains","Would","O  gNwK70y8","E:/Karaoke/Songs/Alice in Chains - Would - O__gNwK70y8.mp4"
"Alien Ant Farm","Smooth Criminal","oYWjvV1vDdA","E:/Karaoke/Songs/Alien Ant Farm - Smooth Criminal - oYWjvV1vDdA.mp4"
"Alika","Bridges","mHg79-66aF4","E:/Karaoke/Songs/Alika - Bridges - mHg79-66aF4.mkv"
"Alkaline Trio","This Could Be Love","AKZ-LRXOUVs","E:/Karaoke/Songs/Alkaline Trio - This Could Be Love - AKZ-LRXOUVs.mkv"
"All Time Low ","Dear Maria, Count Me In","hlteotxlnIc","E:/Karaoke/Songs/All Time Low  - Dear Maria, Count Me In - hlteotxlnIc.mp4"
"Alvin and the Chipmunks","Walk Like an Egyptian (16 speed)","9CAerD91Go8","E:/Karaoke/Songs/Alvin and the Chipmunks - Walk Like an Egyptian (16 speed) - 9CAerD91Go8.mp4"
"Alvvays","Archie, Marry Me","ZgTv7XGEMig","E:/Karaoke/Songs/Alvvays - Archie, Marry Me - ZgTv7XGEMig.mkv"
"America","A Horse with No Name","QgfXiK8TQNY","E:/Karaoke/Songs/America - A Horse with No Name - QgfXiK8TQNY.mkv"
"America","Sister Golden Hair","2d2LsH64HgY","E:/Karaoke/Songs/America - Sister Golden Hair - 2d2LsH64HgY.mkv"
"America","Ventura Highway","6kqwijhRhQs","E:/Karaoke/Songs/America - Ventura Highway - 6kqwijhRhQs.mkv"
"Amigo the Devil","Murder at the Bingo Hall","EDHoSj-YDps","E:/Karaoke/Songs/Amigo the Devil - Murder at the Bingo Hall - EDHoSj-YDps.mkv"
"Amy Winehouse","Back to Black","bxSW 66ptUg","E:/Karaoke/Songs/Amy Winehouse - Back to Black - bxSW_66ptUg.mp4"
"Amy Winehouse","He Can Only Hold Her","h ndpFwIOVg","E:/Karaoke/Songs/Amy Winehouse - He Can Only Hold Her - h_ndpFwIOVg.mp4"
